LIBELLE,CLI_ID
EDT  UN MATIN AU JARDIN  20ML  MUGUET,1365
EDT 100ML   AMBRE NOIR,7445
EDT 2014 FRUITS NOIRS  50ML,3161
EDT 50ML  AMBRE NOIR,5490
EDT ANANAS COCO PN 100ML VPM,153
EDT ANANAS COCO PN 20ML,62
EDT CLEA VAPO 75ML,32
EDT EAU DES LAGONS MONOI DE TAHITI 100ML,16571
EDT EVIDENCE H GREEN VP 75ML,2223
EDT EVIDENCE HOMME  VAPO 75ML,10123
EDT FLOWERPARTY VAPO 30ML,6052
EDT FLOWERPARTY VAPO 50ML,6011
EDT FLOWERPARTY VAPO SAC 15ML,32
EDT FRAISE PN2 100ML VPM,2933
EDT FRAISE PN2 20ML,9749
EDT FRAMBOISE PN 20ML,24032
EDT FRAMBOISE PN2 100ML VPM,7765
EDT IRIS NOIR S.E VAPO 75ML,2
EDT L'EAU MOMENT DE BONHEUR 50ML,8691
EDT LILAS VAPO 60ML PUR DESIR,1
EDT MANDARINE ITALIE PN 20ML,43
EDT MANDARINE ITALIE VPM PN100ML,8
EDT MANGUE PASSION PN 100ML VPM,722
EDT MANGUE PASSION PN 20ML,829
EDT MARRONS DE NOEL P.N OS09 VPM 100ML,1
EDT MAUVES  CRISTALLISEES 50ML O.S.2012,111
EDT MURE PN2 100ML VPM,5073
EDT MURE PN2 20ML,14377
EDT NATURE HOMME VAPO 50ML,10114
EDT NATURE VAPO 60ML,11958
EDT NATURELLE VAPO 75ML,2025
EDT NOIX DE COCO PN 100ML VPM,12664
EDT NOIX DE COCO PN2 20ML,20804
EDT ODE A L' AMOUR PASSIONNEMENT30ML,1
EDT ODE A L'AMOUR 50ML,1
EDT PECHE PN2 100ML VPM,3381
EDT PN 100ML  EAU INT VAN.EDOR VPM OS13,493
EDT PN 100ML  POMME DELICE VPM O.S.2012,8
EDT PN 20ML  EAU INT VAN.ED.OR VPM OS13,1945
EDT PN 20ML  POMME GOURM  O.S.2012,6
EDT PN2 PECHE 20ML,11772
EDT POIRE CARAMEL PN 20ML,9756
EDT RETROPICAL 75ML  ANIM 2013,700
EDT SO ELIXIR VAPO 30ML,567
EDT SO ELIXIR VAPO 50ML,400
EDT UN MATIN AU JARD 100ML FL. D'AGRUMES,7686
EDT UN MATIN AU JARD 20ML FL. D'AGRUMES,922
EDT UN MATIN AU JARDIN 100ML LILAS,11147
EDT UN MATIN AU JARDIN 100ML ROSE,11323
EDT UN MATIN AU JARDIN 20ML LILAS,1199
EDT UN MATIN AU JARDIN 20ML ROSE,1237
EDT VANILLE PN2 100ML VPM,13291
